2020-12-12 01:38:50+07, done pomodoro
2020-12-12 01:38:52+07, done short break
2020-12-12 01:38:54+07, done short break
2020-12-12 01:38:56+07, done pomodoro
2020-12-12 01:38:58+07, done pomodoro
2020-12-12 01:39:00+07, done short break
2020-12-12 01:39:03+07, done long break
2020-12-12 01:39:04+07, done pomodoro
2020-12-12 01:39:07+07, done pomodoro
2020-12-12 01:39:09+07, done short break
2020-12-12 01:39:11+07, done short break
2020-12-12 01:39:13+07, done pomodoro
2020-12-12 01:39:15+07, done pomodoro
2020-12-12 01:39:18+07, done long break
2020-12-12 01:39:19+07, done short break
2020-12-12 01:39:22+07, done pomodoro
2020-12-12 01:39:23+07, done pomodoro
2020-12-12 01:39:26+07, done short break
2020-12-12 01:39:27+07, done short break
2020-12-12 01:39:30+07, done pomodoro
2020-12-12 01:39:31+07, done pomodoro
2020-12-12 01:39:34+07, done short break
2020-12-12 01:39:37+07, done long break
2020-12-12 01:39:38+07, done pomodoro
2020-12-12 01:39:41+07, done pomodoro
2020-12-12 01:39:42+07, done pomodoro
2020-12-12 01:39:42+07, done short break
2020-12-12 01:39:45+07, done short break
2020-12-12 01:39:46+07, done pomodoro
2020-12-12 01:39:46+07, done short break
2020-12-12 01:39:49+07, done pomodoro
2020-12-12 01:39:50+07, done pomodoro
2020-12-12 01:39:51+07, done long break
2020-12-12 01:39:53+07, done short break
2020-12-12 01:39:54+07, done short break
2020-12-12 01:39:55+07, done pomodoro
2020-12-12 01:39:57+07, done pomodoro
2020-12-12 01:39:58+07, done pomodoro
2020-12-12 01:39:59+07, done short break
2020-12-12 01:40:01+07, done short break
2020-12-12 01:40:03+07, done pomodoro
2020-12-12 01:40:05+07, done pomodoro
2020-12-12 01:40:07+07, done short break
